,spot_exchange_UStoWON,CPI,M3,CLI_korea,3month_rate_yield_certificates_of_deposit,export,BSI,unemployed_rate,gold_price,kospi_index,oil_price,agriculture(food)_price,average_hourly_earning_dollar,industrial_material_price,CSI
2018-04-01,1068.0452,104.291 ,3647777100000000 ,99.995 ,1.650,48542355878 ,77,3.8,124.589996,2515.379883,66.25,106.719 ,26.89,127.054 ,95
2018-05-01,1076.6595,104.341 ,3674735300000000 ,99.919 ,1.650,51411312921 ,78,3.8,123.099998,2423.01001,69.98,108.363 ,26.97,127.439 ,95
2018-06-01,1094.3552,104.130 ,3681404900000000 ,99.850 ,1.650,50054612279 ,80,3.5,118.650002,2326.129883,67.87,104.080 ,27.03,128.303 ,94
2018-07-01,1122.2029,103.931 ,3708833000000000 ,99.792 ,1.650,51058587276 ,74,3.8,115.989998,2295.26001,70.98,101.330 ,27.10,121.785 ,91
2018-08-01,1120.4270,104.850 ,3728044200000000 ,99.743 ,1.650,52778068689 ,73,4.5,113.510002,2322.879883,68.06,97.361 ,27.21,119.697 ,89
2018-09-01,1119.8200,105.650 ,3742999600000000 ,99.692 ,1.650,50214121752 ,73,4.1,112.760002,2343.070068,70.23,98.627 ,27.31,118.941 ,90
2018-10-01,1131.6150,105.461 ,3778372300000000 ,99.635 ,1.680,53710313483 ,71,4.0,115.150002,2029.689941,70.75,100.421 ,27.36,120.710 ,91
2018-11-01,1125.3450,104.711 ,3788048200000000 ,99.575 ,1.710,50293345307 ,73,3.9,115.540001,2096.860107,56.96,95.855 ,27.43,118.871 ,90
2018-12-01,1122.4244,104.351 ,3817417900000000 ,99.517 ,1.910,47589652340 ,71,3.8,121.25,2041.040039,49.52,98.690 ,27.56,117.689 ,89
2019-01-01,1120.3300,104.241 ,3845861600000000 ,99.458 ,1.870,48236931924 ,67,4.1,124.75,2204.850098,51.38,100.467 ,27.60,119.027 ,90
2019-02-01,1121.8333,104.691 ,3867718400000000 ,99.395 ,1.870,44115895182 ,69,3.8,123.989998,2195.439941,54.95,98.772 ,27.70,125.902 ,93
2019-03-01,1131.6005,104.491 ,3898978700000000 ,99.320 ,1.900,46027964747 ,73,3.8,122.010002,2140.669922,58.15,98.063 ,27.80,127.504 ,91
2019-04-01,1142.1650,104.870 ,3932018700000000 ,99.234 ,1.860,47119560969 ,75,4.0,121.199997,2203.590088,63.86,101.569 ,27.78,129.877 ,93
2019-05-01,1182.9527,105.051 ,3953701000000000 ,99.153 ,1.840,46423020958 ,76,3.8,123.330002,2041.73999,60.83,98.094 ,27.85,129.520 ,91
2019-06-01,1173.7845,104.881 ,3977728500000000 ,99.089 ,1.800,43705902425 ,75,3.8,133.199997,2130.620117,54.66,100.213 ,27.94,131.151 ,91
2019-07-01,1177.2345,104.560 ,4010577400000000 ,99.040 ,1.680,45017921635 ,73,4.0,133.210007,2024.550049,57.35,100.272 ,28.03,134.640 ,91
2019-08-01,1210.3782,104.811 ,4038367800000000 ,99.018 ,1.490,45816845014 ,68,3.5,143.75,1967.790039,54.81,98.260 ,28.13,123.072 ,90
2019-09-01,1194.1145,105.200 ,4061773400000000 ,99.030 ,1.540,43872987438 ,71,3.6,138.869995,2063.050049,56.95,96.053 ,28.15,124.103 ,92
2019-10-01,1183.4473,105.461 ,4080975200000000 ,99.079 ,1.460,45713462444 ,72,3.6,142.429993,2083.47998,53.96,96.382 ,28.23,122.115 ,92
2019-11-01,1167.2989,104.870 ,4110109000000000 ,99.153 ,1.520,43450734158 ,74,3.7,137.860001,2087.959961,57.03,100.278 ,28.35,120.028 ,92
2019-12-01,1174.7052,105.121 ,4119440100000000 ,99.225 ,1.530,44556807237 ,74,3.7,142.899994,2197.669922,59.88,104.019 ,28.37,122.026 ,92
2020-01-01,1167.4624,105.512 ,4158022000000000 ,99.268 ,1.470,44855510675 ,76,3.8,149.330002,2119.01001,57.52,105.403 ,28.43,124.225 ,93
2020-02-01,1195.3358,105.586 ,4189046600000000 ,99.283 ,1.420,45945566520 ,65,3.3,148.380005,1987.01001,50.54,101.111 ,28.56,118.052 ,91
2020-03-01,1218.1945,105.354 ,4221865700000000 ,99.286 ,1.230,44781593344 ,56,3.7,148.050003,1754.640015,29.21,97.200 ,28.79,114.215 ,83
2020-04-01,1223.1309,104.890 ,4258859000000000 ,99.309 ,1.100,35053105356 ,52,3.8,158.800003,1947.560059,16.55,92.934 ,30.01,109.154 ,77
2020-05-01,1228.1340,104.827 ,4295239400000000 ,99.373 ,1.020,36044395649 ,49,4.2,162.910004,2029.599976,28.56,96.517 ,29.71,112.752 ,79
2020-06-01,1206.9459,105.112 ,4315895400000000 ,99.504 ,0.790,38399628962 ,51,4.2,167.369995,2108.330078,38.31,99.806 ,29.36,121.011 ,84
2020-07-01,1198.6186,105.027 ,4351543500000000 ,99.699 ,0.790,41779987319 ,59,4.2,185.429993,2249.370117,40.71,97.636 ,29.41,126.622 ,85
2020-08-01,1186.8562,105.618 ,4352268600000000 ,99.935 ,0.680,41493124844 ,66,3.6,184.830002,2326.169922,42.34,98.624 ,29.48,133.928 ,85
2020-09-01,1176.8619,106.198 ,4383669800000000 ,100.186 ,0.630,46613999594 ,68,4.1,177.119995,2327.889893,39.63,100.000 ,29.51,136.382 ,81
2020-10-01,1143.7681,105.607 ,4426616100000000 ,100.428 ,0.630,44406490174 ,79,4.3,176.199997,2267.149902,39.40,105.348 ,29.53,137.480 ,86
2020-11-01,1116.0978,105.512 ,4467193000000000 ,100.654 ,0.660,45150364916 ,85,4.2,166.669998,2591.340088,40.94,108.415 ,29.65,144.115 ,89
2020-12-01,1093.7876,105.765 ,4457135800000000 ,100.863 ,0.660,49516034481 ,82,4.5,178.360001,2873.469971,47.02,109.504 ,29.92,159.457 ,86
2021-01-01,1098.2367,106.514 ,4506848200000000 ,101.071 ,0.680,50658295606 ,85,5.2,172.610001,2976.209961,52.00,116.395 ,29.93,167.035 ,86
2021-02-01,1111.8137,107.083 ,4542731400000000 ,101.269 ,0.730,49880041247 ,82,3.9,161.809998,3012.949951,59.04,119.448 ,30.04,169.518 ,87
2021-03-01,1130.2543,107.357 ,4600475200000000 ,101.445 ,0.750,51609022000 ,89,3.8,159.960007,3061.419922,62.33,122.229 ,30.06,174.679 ,89
2021-04-01,1117.8555,107.505 ,4693398500000000 ,101.577 ,0.740,49604465085 ,96,3.7,165.660004,3147.860107,61.72,129.696 ,30.20,181.524 ,92
2021-05-01,1123.6565,107.579 ,4665862800000000 ,101.631 ,0.680,52496512933 ,96,3.7,178.380005,3203.919922,65.17,135.196 ,30.36,197.476 ,93
2021-06-01,1122.6073,107.579 ,4698454400000000 ,101.597 ,0.660,53662361317 ,98,3.6,165.630005,3296.679932,71.38,127.653 ,30.52,203.478 ,93
2021-07-01,1146.3948,107.800 ,4745932100000000 ,101.484 ,0.690,54583344582 ,97,3.3,169.820007,3202.320068,72.49,128.973 ,30.67,202.826 ,91
2021-08-01,1160.9945,108.316 ,4781355300000000 ,101.308 ,0.770,55457411480 ,95,3.1,169.690002,3199.27002,67.73,131.479 ,30.76,183.268 ,91
2021-09-01,1172.8190,108.759 ,4795349300000000 ,101.086 ,0.980,54535152324 ,90,3.1,164.220001,3068.820068,71.65,127.015 ,30.92,167.772 ,91
2021-10-01,1181.8900,108.949 ,4835329100000000 ,100.853 ,1.080,55687776231 ,90,3.2,166.649994,2970.679932,81.48,127.954 ,31.11,172.760 ,92
2021-11-01,1184.0600,109.497 ,4884426500000000 ,100.637 ,1.170,58968460144 ,90,3.2,165.5,2839.01001,79.15,129.712 ,31.23,161.656 ,92
2021-12-01,1183.8871,109.676 ,4905635100000000 ,100.444 ,1.270,58494684899 ,95,3.8,170.960007,2977.649902,71.71,133.458 ,31.38,168.848 ,91
2022-01-01,1196.0345,110.362 ,4943323900000000 ,100.265 ,1.390,58470870277 ,90,3.6,168.089996,2663.340088,83.22,139.893 ,31.56,183.357 ,91
2022-02-01,1199.1226,111.005 ,4959341100000000 ,100.090 ,1.500,60422160331 ,91,2.7,178.380005,2699.179932,91.64,147.147 ,31.60,190.209 ,90
2022-03-01,1220.8409,111.806 ,4960074100000000 ,99.911 ,1.500,61304388448 ,84,2.7,180.649994,2757.649902,108.50,157.585 ,31.75,204.923 ,90
2022-04-01,1235.1533,112.639 ,4977731700000000 ,99.726 ,1.640,56534980441 ,87,2.7,176.910004,2695.050049,101.78,161.733 ,31.86,203.530 ,92
2022-05-01,1268.8081,113.387 ,5028232200000000 ,99.549 ,1.770,63224762552 ,86,2.8,171.139999,2685.899902,109.55,158.766 ,31.98,187.213 ,89
2022-06-01,1277.4057,114.083 ,5020680900000000 ,99.390 ,1.990,56514217305 ,83,2.9,168.460007,2332.639893,114.84,152.949 ,32.11,180.419 ,87
2022-07-01,1308.0295,114.631 ,5048865000000000 ,99.266 ,2.410,59793390526 ,80,2.9,164.100006,2451.5,101.62,141.564 ,32.27,157.434 ,81
2022-08-01,1319.4122,114.504 ,5070068200000000 ,99.177 ,2.790,58632666497 ,80,2.5,159.270004,2472.050049,93.67,138.315 ,32.36,158.510 ,83
2022-09-01,1396.3729,114.831 ,,99.112 ,3.010,56063594425 ,74,2.8,154.669998,2155.48999,84.26,134.119 ,32.49,150.781 ,85
2022-10-01,1426.0650,115.126 ,,99.062 ,3.690,,72,,151.910004,2293.610107,87.55,134.820 ,32.64,146.424 ,83
2022-11-01,1361.7900,,,,,,74,,164.809998,2472.530029,84.37,,32.82,,83
